"Species",status,"Phylum","Taxo_for_fig","Number_of_Individuals","piS","Fit"
"Abatus_agassizi",single,"Echinodermata","Echinoderms",2,0.00727197,-0.268249
"Abatus_cordatus",single,"Echinodermata","Echinoderms",8,0.00282628,-0.0257053
"Allolobophora_chlorotica_L1",single,"Annelida","other",2,0.0417953,-0.108575
"Allolobophora_chlorotica_L2",single,"Annelida","other",8,0.0553005,0.437587
"Allolobophora_chlorotica_L4",single,"Annelida","other",2,0.0378199,0.0126396
"Aporrectodea_icterica",single,"Annelida","other",2,0.0265455,0.0395112
"Aptenodytes_patagonicus",single,"Chordata","Vertebrates",10,0.00263499,-0.0153924
"Armadillidium_nasatum",single,"Arthropoda","Arthropods",2,0.0185015,-0.0534897
"Armadillidium_vulgare",single,"Arthropoda","Arthropods",10,0.0187064,0.247406
"Artemia_franciscana",single,"Arthropoda","Arthropods",10,0.01072,0.435482
"Artemia_salina",single,"Arthropoda","Arthropods",2,0.0059074,0.52476
"Artemia_sinica",single,"Arthropoda","Arthropods",2,0.00492781,-0.0648536
"Artemia_tibetana",single,"Arthropoda","Arthropods",2,0.00535856,-0.0619925
"Bostrycapulus_aculeatus",single,"Mollusca","Molluscs",2,0.0834581,0.430603
"Caenorhabditis_brenneri",single,"Nematoda","other",10,0.032215,0.159726
"Caenorhabditis_sp.10",single,"Nematoda","other",2,0.049318,-0.15632
"Callithrix_jacchus",single,"Chordata","Vertebrates",4,0.0015103,-0.196721
"Camponotus_aethiops",single,"Arthropoda","Arthropods",2,0.00332756,-0.258939
"Camponotus_ligniperdus",single,"Arthropoda","Arthropods",4,0.00164517,-0.2279
"Carcinus_aestuarii",single,"Arthropoda","Arthropods",2,0.00871331,-0.140233
"Chelonoidis_nigra",single,"Chordata","Vertebrates",5,0.00163381,-0.104151
"Chlorocebus_aethiops",single,"Chordata","Vertebrates",4,0.00349159,-0.123344
"Ciona_intestinalis_A",single,"Chordata","other",10,0.0153244,0.0578054
"Ciona_intestinalis_B",single,"Chordata","other",10,0.0533579,0.109717
"Crepidula_fornicata",single,"Mollusca","Molluscs",8,0.0225892,0.144093
"Crepidula_plana",single,"Mollusca","Molluscs",2,0.0250816,-0.0894611
"Culex_hortensis",single,"Arthropoda","Arthropods",2,0.0327737,0.000231031
"Culex_pipiens",single,"Arthropoda","Arthropods",10,0.0412972,0.418858
"Culex_torrentium",single,"Arthropoda","Arthropods",2,0.0163186,-0.0185666
"Cystodytes_dellechiajei_blue",single,"Chordata","other",2,0.0356235,0.730887
"Cystodytes_dellechiajei_purple",single,"Chordata","other",5,0.0423533,0.600973
"Echinocardium_cordatum_B2",single,"Echinodermata","Echinoderms",7,0.0523593,0.0227751
"Echinocardium_mediterraneum",single,"Echinodermata","Echinoderms",7,0.0210419,0.00932114
"Emys_orbicularis",single,"Chordata","Vertebrates",10,0.00411023,0.344851
"Eudyptes_filholi",single,"Chordata","Vertebrates",4,0.00424895,-0.0291077
"Eudyptes_moseleyi",single,"Chordata","Vertebrates",4,0.00296217,-0.0208097
"Eulemur_coronatus",single,"Chordata","Vertebrates",4,0.0034089,-0.136938
"Eulemur_mongoz",single,"Chordata","Vertebrates",4,0.00296415,-0.081701
"Eunicella_cavolinii",single,"Cnidaria","other",8,0.01249,0.304238
"Eunicella_verrucosa",single,"Cnidaria","other",2,0.0146539,-0.0109251
"Galago_senegalensis",single,"Chordata","Vertebrates",4,0.00392943,-0.133047
"Halictus_scabiosae",single,"Arthropoda","Arthropods",11,0.00211062,0.0275652
"Hippocampus_guttulatus",single,"Chordata","Vertebrates",6,0.00162526,0.12962
"Hippocampus_hippocampus",single,"Chordata","Vertebrates",2,0.00402748,-0.0534427
"Hippocampus_kuda",single,"Chordata","Vertebrates",2,0.00118422,-0.417884
"Homo_sapiens",single,"Chordata","Vertebrates",4,0.00177813,-0.124156
